Bygg	Fra	DX1	DX2	DX3	DX4	DX5	DX6	DY1	DY2	DY3	DY4	DY5	DY6	ETXMin	ETXMax	ETYMin	ETXMax	Grunnlast	ETColor	Navn
Trondheim Kommune - Brøset Marikåpa barnehage	02.01.2017	-12.7	2.4	12	30			5038.7	3471.7	1384.9	1384.9			-15	20	0	7500	1384.9	0	20190114 ØL: Ny ET-kurve
Trondheim Kommune - Brøset Marikåpa barnehage	04.11.2019	-12.1	2.9	12	30			5406.6	3160.4	1384.9	1384.9			-15	20	0	7500	1384.9	0	ØD Kurve for variabel bruk - øvre sjikt
Trondheim Kommune - Brøset Prestekragen barnehage	03.01.2000		-16	-4.25	12	20			4017	3151.8	1050.6	1050.6		-15	20	0	10000	1050	0	ET fra Entroa EOS
Trondheim Kommune - Brøset Prestekragen barnehage	29.12.2014		-15	-2	13	20			3900	3000	900	900		-15	20	0	5000	900	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Brøset Prestekragen barnehage	20.02.2017			-8.4	13	20				3301.9	839.6	839.6		-15	20	0	4000	839.6	0	20180221 ØL: Ny ET-kurve
Trondheim Kommune - Cecilienborg barnehage	31.12.2012	-15	1	12	30			4100	2600	800	800			-15	20	0	5000	800	FF2FB5	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Cecilienborg barnehage	05.01.2015		-11.6	14.2	30				4241.5	800	800			-15	20	0	5000	800	0	20170602 ØL: Ny ET-kurve
Trondheim Kommune - Cecilienborg barnehage	04.01.2016		-12.4	15	30				4279.2	894.3	894.3			-15	20	0	5000	894.3	0	20171031 ØL: Ny ET-kurve
Trondheim Kommune - Cecilienborg barnehage	01.01.2018		-12.8	15	30				3883	894.3	894.3			-15	20	0	5000	894.3	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Charlottenlund barnehage	03.01.2000		-15.4	13	20				5535	1180.8	1180.8			-20	30	0	10000	1100	0	ET fra Entros EOS
Trondheim Kommune - Charlottenlund barnehage	04.01.2010		-15	13	20				5900	1100	1100			-15	20	0	8000	1100	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Charlottenlund barnehage	01.01.2018	-14	2	13	20			5133.1	3001.9	1250.9	1250.9			-15	20	0	8000	1250.9	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Ferista friluftsbarnehage	03.01.2000		-15	-5	13	20			4778.4	4271.6	1013.6	1013.6		-20	25	0	7000	1000	0	ET fra Entros EOS
Trondheim Kommune - Ferista friluftsbarnehage	31.12.2012		-15	-2	14	20			5600	4100	1000	1000		-15	20	0	7000	1000	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Ferista friluftsbarnehage	02.01.2017	-14.2	4	7.5	12.5	20		5336.8	3222.6	2171.7	1581.1	1581.1		-15	20	0	7000	1581.1	0	20190114 ØL: Ny ET-kurve
Trondheim Kommune - Festningen barnehage	03.01.2000		-15	11	18.5				7392.12	1452.6	1452.6			-20	30	0	10000	1400	0	ET fra Entros EOS
Trondheim Kommune - Festningen barnehage	29.12.2014		-15	12	20				7000	1200	1200			-15	20	0	10000	1200	FF3791	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Festningen barnehage	04.01.2016		-15	12	20				7000	1200	1200			-15	20	0	10000	1200	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Festningen barnehage	02.01.2017	-12.3	8.8	10.7	14	20		6631.2	1849.1	1559.5	1200	1200		-15	20	0	7000	1200	0	20180926 ØL: Ny ET-kurve
Trondheim Kommune - Firkanten Barnehage	03.01.2000	-15	4	12	20			4797	3751.5	1045.5	1045.5			-20	30	0	10000	850	0	ET fra Entros EOS
Trondheim Kommune - Firkanten Barnehage	06.01.2003	-15	2.5	12.1	30			5700	3350	630	630			-20	30	0	10000	382.2	0	
Trondheim Kommune - Firkanten Barnehage	04.01.2010	-15	2.5	12.5	20			4800	3500	630	630			-15	20	0	7500	630	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Nedre Flatåsen barnehage	03.01.2000		-15	11	20				6616.5	1624.5	1624.5			-15	25	0	8000	1650	0	ET hentet i fra Entros eos
Trondheim Kommune - Nedre Flatåsen barnehage	29.12.2014		-15	11	20				6300	1650	1650			-15	25	0	8000	1650	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Nedre Flatåsen barnehage	06.01.2020		-13	12	20				6330.2	1650	1650			-15	25	0	8000	1650	0	20200203 VS: Ny ET-kurve. Forbruket for 2018 og 2019 relativt likt
Trondheim Kommune - Furutoppen barnehage	03.01.2000		-14	0	12	20			9144	6515.1	2400.3	2400.3		-20	30	0	10000	2400	0	ET fra Entros EOS
Trondheim Kommune - Furutoppen barnehage	04.01.2010	-15	-5	10	15	20		9000	8000	3000	1900	1900		-15	20	0	15000	1900	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Furutoppen barnehage	01.01.2018		-12.1	7.2	15	20			9397.2	3339.7	1900	1900		-15	20	0	15000	1900	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Gartneriet barnehage	03.01.2000		-15	1.5	9.5	25			16688	11264.4	6258	4797.8		-20	30	0	10000	5150	0	ET fra Entros EOS tidl Elgeseter bhg
Trondheim Kommune - Gartneriet barnehage	04.01.2010		-11.7	-2.3	5.8	15.5	25		11268.2	8091.6	4219	1700	1700	-20	30	0	20000	1700	0	Gartneriet bhg 06023026 HL
Trondheim Kommune - Gartneriet barnehage	29.12.2014		-9.8	1.2	5	14.3	20		18642.5	13661.4	9057.6	4575.5	4575.5	-15	20	0	20000	4575.5	0	20170828 ØL: Ny ET-kurve
Trondheim Kommune - Gartneriet barnehage	02.01.2017		-10.3	1.4	6.6	14.3	20		18944.4	13585.9	7699.1	4801.9	4801.9	-15	20	0	20000	4801.9	0	20190114 ØL: Ny ET-kurve
Trondheim Kommune - Gjørtlervegen barnehage	03.01.2000		-15.4	5	6	19.6			10312.1	5513.4	4084	1694.86		-20	30	0	10000	2500	0	ET fra Entros EOS
Trondheim Kommune - Gjørtlervegen barnehage	29.12.2014		-15	5	7.5	20			10000	5000	3300	1700		-15	20	0	12000	1700	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Gjørtlervegen barnehage	02.01.2017		-11.3	8.6	14	20			10461.4	3641.5	2288.7	2288.7		-15	20	0	12000	2288.7	0	20181109 ØL: Ny ET-kurve
Trondheim Kommune - Gjørtlervegen barnehage	01.01.2018	-13.4	2.8	7	14	20		9918	6385.9	4320.7	2560.4	2560.4		-15	20	0	12000	2560.4	0	20190405 ØL: Ny ET-kurve
Trondheim Kommune - Grillstadfjæra barnehage	03.01.2000		-14.9	13.5	20				8800	1760	1760			-20	30	0	10000	1650	0	ET fra Entros EOS
Trondheim Kommune - Grillstadfjæra barnehage	29.12.2014		-15	11	20				6000	1800	1800			-15	20	0	7000	1800	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Grillstadfjæra barnehage	01.01.2018	-11.7	2.7	14	20			5416.1	2988.7	1615.1	1615.1			-15	20	0	7000	1615.1	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Hammersborg barnehage	03.01.2000		-14.9	13.5	20				6712	1342.4	1342.4			-20	30	0	10000	1350	0	ET fra Entros EOS
Trondheim Kommune - Hammersborg barnehage	04.01.2016		-10	13.5	20				2800	700	100			-20	30	0	10000	100	0	ØD Mulig stengt bhg
Trondheim Kommune - Haukåsen barnehage	03.01.2000		-11.3	11	22.5				600	585.36	585.36			-20	30	0	10000	600	0	ET fra Entros EOS
Trondheim Kommune - Haukåsen barnehage	30.12.2013		-15	14	20				1100	600	600			-15	20	0	1600	600	0	20170117 ØL: Ny ET-kurve
Trondheim Kommune - Haukåsen barnehage	02.01.2017	-10.6	0.7	13	20			1160.7	755.8	655.9	655.9			-15	20	0	1500	655.9	0	20181214 ØL: Ny ET-kurve
Trondheim Kommune - Haukåsen barnehage	11.11.2019	-10.2		4	20			1388		644.5	644.5			-15	20	0	1500	644.5	0	20191115 VG: Ny ET.kurve basert på 2019
Trondheim Kommune - Havsteinaunet Gule barnehage	03.01.2000		-11.3	12	20				3312.47	1106	1106			-20	30	0	10000	750	0	ET fra Entros EOS
Trondheim Kommune - Havsteinaunet Gule barnehage	29.12.2014		-15	12	20				4200	750	750			-15	20	0	6000	750	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Havsteinaunet Gule barnehage	07.10.2019	-10.5	2.9	12	20			3090.5	1750.9	659.4	636.8			-15	20	0	6000	636.8	0	191011 VS: Ny ET-kurve
Trondheim Kommune - Havsteinaunet røde barnehage	03.01.2000		-13.6	12	20				2488	590.9	590.9			-15	25	0	4000	600	0	ET fra Entros EOS
Trondheim Kommune - Havsteinaunet røde barnehage	29.12.2014		-15	13	20				2700	550	550			-15	25	0	4000	550	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Havsteinaunet røde barnehage	09.10.2017	-10.3	8.8	14.5	20			1948.2	662.3	323.7	323.7			-15	20	0	3000	323.7	0	20180822 ØL: Ny ET-kurve, etterisolert. Må muligens oppdateres
Trondheim Kommune - Huseby barnehage	03.01.2000		-15.4	12	20				6590	1186.2	1186.2			-20	30	0	10000	1200	0	ET fra Entros EOS
Trondheim Kommune - Huseby barnehage	29.12.2014		-15.4	13.5	20				6500	900	900			-15	20	0	8000	900	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Ila barnehage	03.01.2000		-15	12.5	25				10081.2	1951.2	1951.2			-20	30	0	10000	1600	0	ET fra Entros EOS
Trondheim Kommune - Ila barnehage	29.12.2014	-15	-3	12	20			8700	7400	2000	2000			-15	20	0	10000	2000	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Ila barnehage	02.01.2017	-13.9	-0.8	12.6	20			9605.7	6796.2	2000	2000			-15	20	0	10000	2000	0	20180309 ØL: Nytt romaggregat installert
Trondheim Kommune - Ila barnehage	31.12.2018	-13.9	-0.1	13.6	20			9605.7	7099.2	2303	2303			-15	20	0	10000	2303	0	29082019 SKB: Ny ET-kurve da forbruket vil øke her fremover. Større luftmengder nå - må nok oppdatere ET-kurve når vi har mer data etterhvert.
Trondheim Kommune - Ila barnehage	02.12.2019	-14.2	-1.2	13.5	20			8494.6	5260.1	1843.2	1843.2			-15	20	0	10000	1766.6	0	20191209 VS: Ny ET-kurve
Trondheim Kommune - Iladalen barnehage	03.01.2000		-15	11	20.9				3067.57	1433.85	1433.85			-20	25	0	5000	1350	0	ET fra Entros EOS
Trondheim Kommune - Iladalen barnehage	29.12.2014		-15	14	20				3200	1150	1150			-15	20	0	4000	1150	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Iladalen barnehage	31.12.2018		-14.1	11.3	20				1578.8	437.9	422.7			-15	20	0	4000	422.7	0	20190410 SKB: Ny ET-kurve (nye data med ny AMS-måler)
Trondheim Kommune - Jotunheimen barnehage	03.01.2000		-15.4	11.5	20				3228	591.8	591.8			-15	25	0	5000	1570	0	ET fra Entros EOS
Trondheim Kommune - Jotunheimen barnehage	29.12.2014		-15	12	20				2800	500	500			-15	20	0	4000	500	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Jotunheimen barnehage	02.01.2017		-13.3	14	20				2437.7	409.4	409.4			-15	20	0	4000	409.4	0	20180612 ØL: Ny ET-kurve
Trondheim Kommune - Kattem barnehager	03.01.2000		-15	10	20				5786	1683.2	1683.2			-20	30	0	10000	1700	0	ET fra Entros EOS
Trondheim Kommune - Kattem barnehager	29.12.2014		-15	12	20				5300	1500	1500			-15	20	0	6000	1500	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Kattem barnehager	16.10.2017		-11.8	12	20				5277.4	1749.1	1749.1			-15	20	0	6000	1749.1	0	20180216 ØL: Ny ET-kurve basert på nye luftmengder
Trondheim Kommune - Klæbuveien barnehage	03.01.2000		-16	14	20				5530.9	1480.1	1480.1			-20	30	0	10000	1450	0	ET fra Entros EOS
Trondheim Kommune - Klæbuveien barnehage	29.12.2014		-15	14	20				5500	1200	1200			-15	20	0	6000	1200	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Klæbuveien barnehage	02.01.2017		-14.2	-4	-0.3	14	20		5204.8	4178.3	3303.8	1200	1200	-15	20	0	7000	1200	0	20180302 ØL: Lagt inn ekstra knekkpunkt på de kaldeste temperaturene
Trondheim Kommune - Kolstad barnehage	03.01.2000		-15.4	13	20				7146	1826.2	1826.2			-20	30	0	10000	1500	0	ET fra Entros EOS
Trondheim Kommune - Kolstad barnehage	29.12.2014	-14.9	-5.1	13	20			6189.7	5395.1	1300	1300			-15	20	0	8000	1300	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Kongsgården barnehage	03.01.2000		-11.3	11.5	20				1695.92	429.2	429.2			-10	20	0	2500	470	0	ET fra Entros EOS
Trondheim Kommune - Kongsgården barnehage	31.12.2012	-15	0	12	20			2300	1000	400	400			-15	20	0	3000	400	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Korsvika barnehage	03.01.2000		-14	13	20				3162.85	762.5	762.5			-20	30	0	10000	750	0	ET fra Entros EOS
Trondheim Kommune - Korsvika barnehage	29.12.2014	-14.8	5	13.6	20			3427.4	1300	550	550			-15	20	0	4000	550	0	20170403 ØL: Ny ET-kurve
Trondheim Kommune - Korsvika barnehage	02.01.2017	-13.1	2.1	12	20			2657.6	1554	746.2	746.2			-15	20	0	4000	746.2	0	20191111 VS: Ny ET-kurve
Trondheim Kommune - Krinkelkroken Barnehage	03.01.2000		-15	13	20				7128	1960.2	1960.2			-20	30	0	10000	1500	0	ET fra Entros EOS
Trondheim Kommune - Krinkelkroken Barnehage	29.12.2014		-15	13	20				7128	1300	1300			-15	20	0	8000	1300	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Krinkelkroken Barnehage	04.06.2018	-13.1	7.1	14	20			4136.8	2690.3	1179.3	1179.3			-15	20	0	8000	1179.3	0	20190111 ØL: Ny ET-kurve
Trondheim Kommune - Kulsås barnehage	03.01.2000		-11.3	14.3	20.9				2862.24	402	402			-20	25	0	4000	400	0	ET fra Entros EOS
Trondheim Kommune - Kulsås barnehage	29.12.2014		-8	14.7	20				2474.5	513.2	513.2			-15	20	0	3000	513.2	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Kulsås barnehage	02.01.2017		-7.9	14	20				2576.4	615.1	615.1			-15	20	0	3000	615.1	0	20180316 ØL: Ny ET-kurve
Trondheim Kommune - Kystadåsen barnehage	03.01.2000		-15	-7	11	20			3505.5	2952	861	861		-20	25	0	4500	840	0	ET fra Entros EOS
Trondheim Kommune - Kystadåsen barnehage	29.12.2014	-11.5	0.5	6.2	13.2	20		2988.7	2087.5	1309.8	804.3	804.3		-15	20	0	3600	804.3	0	20180309 ØL: Ny ET-kurve
Trondheim Kommune - Kystadåsen barnehage	02.01.2017	-14.6	2.3	6.5	13.2	20		2947.9	1843	1228.3	804.3	804.3		-15	20	0	3600	804.3	0	20180412 ØL: Ny ET-kurve
Trondheim Kommune - Kyvannet naturbarnehage	03.01.2000		-15.4	-5	12.1	19.9			4377.6	3571.2	1324.8	1324.8		-20	30	0	10000	1152	0	ET fra Entros EOS
Trondheim Kommune - Kyvannet naturbarnehage	29.12.2014		-15	-5	12.5	20			4600	3700	1200	1200		-15	20	0	5000	1200	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Lian naturbarnehage	03.01.2000		-15.4	-6	13	20			2370	2370	790	790		-20	25	0	3000	800	0	ET fra Entros EOS
Trondheim Kommune - Lian naturbarnehage	29.12.2014		-15.4	-5	12.5	20			2500	2400	600	600		-15	20	0	3000	600	0	20170118 ØL: NY ET-kurve
Trondheim Kommune - Lidarende barnehage	03.01.2000		-15	15	25				6681	1257.6	1257.6			-20	30	0	10000	1300	0	ET fra Entros EOS
Trondheim Kommune - Lidarende barnehage	29.12.2014		-15	15	20				7000	1400	1400			-15	20	0	7000	1400	0	20170118 ØL: NY ET-kurve
Trondheim Kommune - Lidarende barnehage	02.01.2017		-13.3	13	20				6550.9	1769.8	1769.8			-15	20	0	7000	1769.8	0	20190114 ØL: Ny ET-kurve
Trondheim Kommune - Lohove barnehage	03.01.2000		-15.4	12	20				6950	1668	1668			-20	30	0	10000	1650	0	ET fra Entros EOS
Trondheim Kommune - Lohove barnehage	29.12.2014		-15.4	12.5	20				7200	1300	1300			-15	20	0	8000	1300	0	20170118 ØL: NY ET-kurve
Trondheim Kommune - Lohove barnehage	01.01.2018		-12.9	12.5	20				6928.3	1511.3	1511.3			-15	20	0	8000	1511.3	0	20181129 ØL: Ny ET-kurve
Trondheim Kommune - Majorstuen barnehage	03.01.2000		-15	12.5	22.5				6682.5	1158.3	1158.3			-20	30	0	10000	1250	0	ET fra Entros EOS
Trondheim Kommune - Majorstuen barnehage	29.12.2014		-15	13	20				7100	1100	1100			-15	20	0	10000	1100	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Majorstuen barnehage	02.01.2017		-14.8	13	20				7439.6	1213.2	1213.2			-15	20	0	10000	1213.2	0	20181102 ØL: Ny ET-kurve
Trondheim Kommune - Moltmyra Barnehage	03.01.2000		-15	2.5	13.5	22.5			7272.6	4144.6	1251.2	1251.2		-20	30	0	10000	1400	0	ET fra Entros EOS
Trondheim Kommune - Moltmyra Barnehage	29.12.2014			-15	14	20				7800	1400	1400		-15	20	0	10000	1400	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Moltmyra Barnehage	01.01.2018		-14.4	2	14	20			6227.4	3988.7	1400	1400		-15	20	0	10000	1400	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Munkvoll barnehage	03.01.2000		-15.4	-5	13	20			2619.5	2176.2	705.25	705.25		-20	25	0	4000	730	0	
Trondheim Kommune - Munkvoll barnehage	29.12.2014		-15	-5	14	20			2600	2200	730	730		-15	20	0	4000	730	0	20170118 ØL: Ny ET-kurve
Trondheim Kommune - Myra Barnehage	03.01.2000		-11.3	8.5	20				2278.5	1317.5	1317.5			-15	25	0	3500	1150	0	
Trondheim Kommune - Myra Barnehage	29.12.2014		-15	11	20				2200	1200	1200			-15	20	0	3000	1200	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Myrskogen Barnehage	03.01.2000		-15.4	-5	10	20			1600.62	1112.4	772.5	772.5		-20	25	0	2500	780	0	Et fra Entros EOS
Trondheim Kommune - Myrskogen Barnehage	01.08.2016		-15.4	-5	10	20			1600.62	1112.4	772.5	772.5		-20	25	0	2500	780	0	Nedlagt barnehage
Trondheim Kommune - Møllebakken barnehage	03.01.2000		-16	13	20				4875	656.25	656.25			-20	25	0	5500	770	0	Et fra Entros EOS
Trondheim Kommune - Møllebakken barnehage	29.12.2014		-16.3	13	20				5456.1	707.7	707.7			-20	25	0	5500	707.7	0	SKB 170217: Ny ET-kurve
Trondheim Kommune - Møllebakken barnehage	01.01.2018	-17.7	8.3	13	20			5189.7	1491.9	956.8	956.8			-20	25	0	5500	956.8	0	20190503 ØL: Ny ET-kurve
Trondheim Kommune - Møllebakken Møllestua barnehage	03.01.2000		-15.4	14	20				1472.4	270	270			-15	25	0	2000	280	0	Et fra Entros EOS
Trondheim Kommune - Møllebakken Møllestua barnehage	30.12.2013	-15	4.9	5.1	14	20		1540	800	570	280	280		-15	20	0	2000	280	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Møllenberg barnehage	03.01.2000		-11.3	13	20				6046.32	1073.8	1073.8			-20	30	0	10000	1050	0	Et fra Entros EOS
Trondheim Kommune - Møllenberg barnehage	29.12.2014		-15	13	20				6700	1000	1000			-15	20	0	10000	1000	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Møllenberg barnehage	02.01.2017				-13.2	14	20				6022.7	1086.8	1086.8	-15	20	0	7000	1086.8	0F0208	20180907 ØL: Ny ET-kurve
Trondheim Kommune - Øvre Flatåsen Barnehage	03.01.2000		-14	10	18.5				3895	1845	963.5			-18	24	0	5000	700	0	ET fra Entros eos
Trondheim Kommune - Øvre Flatåsen Barnehage	14.10.2013		-10	4	6	11.5	25		3950	2400	1800	1400	1400	-15	20	0	5000	1400	0	Øvre Flatåsen bhg 20.01.2017 HL
Trondheim Kommune - Øvre Flatåsen Barnehage	02.01.2017		-6	3.5	6	15	25		3059.4	2445.3	1800	1113.2	1113.2	-15	20	0	4000	1113.2	0	20180221 ØL: Ny ET-kurve
Trondheim Kommune - Øvre Flatåsen Barnehage	01.01.2018		-8.4	2.7	7.8	14	25		3104.7	2430.2	1422.6	947.2	947.2	-15	20	0	4000	947.2	0	20180822 ØL: Ny ET-kurve
Trondheim Kommune - Nidarvoll barnehage	03.01.2000		-15	11	20				6018	2006	2006			-15	25	0	8000	1550	0	ET hentet i fra Entros eos
Trondheim Kommune - Nidarvoll barnehage	29.12.2014		-15	12.5	20				6500	1300	1300			-15	25	0	8000	1300	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Nordslettveien barnehage	03.01.2000		-16	12.5	20				3876	752.4	752.4			-20	25	0	5000	760	0	ET hentet i fra Entros eos
Trondheim Kommune - Nordslettveien barnehage	29.12.2014		-15	12.5	20				3800	700	700			-15	20	0	5000	700	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Leistad barnehage	03.01.2000		-11.3	13	20				4968.24	1467	1467			-15	25	0	7000	1500	0	ET hentet i fra Entros eos
Trondheim Kommune - Leistad barnehage	29.12.2014	-15	5	13	20			5700	2200	1300	1300			-15	20	0	7000	1300	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Leistad barnehage	01.01.2018	-11.5	5.8	13	20			4854.7	2252.8	1537.7	1537.7			-15	20	0	7000	1537.7	0	20190205 ØL: Ny ET-kurve
Trondheim Kommune - Nypvang barnehage	03.01.2000		-14.5	11.5	20				5701.8	1366.97	1366.97			-20	30	0	10000	1900	0	Fra Entros EOS
Trondheim Kommune - Nypvang barnehage	29.12.2014		-15	12	20				5800	1200	1200			-15	20	0	6000	1200	0	20170119 ØL: Ny ET-kurve
Trondheim Kommune - Nypvang barnehage	29.12.2014		-15	12	20				5800	1200	1200			-15	20	0	6000	1200	FF3FAC	Lagt inn for å få grunnlast før 2016
Trondheim Kommune - Nypvang barnehage	28.01.2019		-12.8	13	20				5618.9	1494.3	1494.3			-15	20	0	6000	1494.3	0	20190404 ØL: Ny ET-kurve, økt forbruk etter målerbytte. Må muligens oppdateres
Trondheim Kommune - Okstad barnehage	03.01.2000		-16	14	20.9				6448	1736	1736			-20	25	0	8000	1700	0	Fra Entros EOS
Trondheim Kommune - Okstad barnehage	31.12.2007	-20	4.7	10	20			6558.5	2966	1950	1950			-20	30	0	10000	1000	0	
Trondheim Kommune - Okstad barnehage	29.12.2014	-15	7	14	20			7300	2200	1700	1700			-15	20	0	8000	1700	0	20170119 ØL: Ny ET-kurve
